"","names","population","diameter","climat","image"
"5","Dagobah",0,8900,"murky","https://vignette.wikia.nocookie.net/starwars/images/4/48/Dagobah_ep3.jpg/revision/latest/scale-to-width-down/500?cb=20100122163146"
"10","Bespin",6e+06,118000,"temperate","https://vignette.wikia.nocookie.net/starwars/images/1/11/Bespin-SWCT.png/revision/latest/scale-to-width-down/500?cb=20181010054421"
"18","Kashyyyk",4.5e+07,12765,"tropical"
"15","Endor",3e+07,4900,"temperate"
"15","Tatooine",2e+05,10465,"arid"
"17","Alderaan",2e+09,12500,"temperate"
"10","Yavin IV",1000,10200,"temperate"
"15","Naboo",4.5e+09,12120,"temperate"
"10","Kamino",1e+09,19720,"temperate"
"11","Geonosis",1e+11,11370,"temperate"
"10","Mustafar",20000,4200,"hot"
"10","Earth",7e+09,6300,"earth"
