"x","y","color"
1.86523735895752,1.52569299554452,"8"
2.12931840470992,1.47061087065376,"9"
1.79923078021965,1.67530657155439,"8"
2.07996954349801,1.55610932656564,"9"
1.6610566440504,1.61233421242796,"8"
1.85795792867429,1.78412512284704,"9"
1.76260859239846,1.56637285361066,"8"
2.00087468791753,1.42227298105136,"9"
1.89250821480527,1.40137547291815,"8"
1.61330300080589,1.51733043384738,"9"
1.9066840033047,1.77236744146794,"8"
1.92640301841311,1.69824750153348,"9"
1.69788359594531,1.47106337631121,"8"
2.11574041261337,1.50138648659922,"9"
2.13827404472976,1.49020227384754,"8"
2.12240696116351,1.50473546343856,"9"
1.90554036665707,1.43508607395925,"8"
2.15958113130182,1.55908888732083,"9"
1.62618713732808,1.54793563894928,"8"
1.86266863392665,1.76288103652187,"9"
2.01101682637818,1.57450265218504,"8"
1.98430603207089,1.79282818003558,"9"
1.7026036970783,1.63480096533895,"8"
1.76914263959043,1.60576331000775,"9"
2.0680110740941,1.46784530756995,"8"
1.96027286699973,1.72711509829387,"9"
2.11857185419648,1.59640079215169,"8"
1.68172256695106,1.48654287904501,"9"
1.79917450156062,1.64256735299714,"8"
1.96375575847923,1.7584246174898,"9"
1.88784658978693,1.56110733971,"8"
1.89127178653143,1.78425962305628,"9"
1.94488518452271,1.74084852812812,"8"
2.08126288955099,1.6716170782689,"9"
1.87212656065821,1.79490974629298,"8"
2.09501857403665,1.57811943944544,"9"
1.8065045743715,1.66747513404116,"8"
1.77599694137461,1.70536876763217,"9"
1.63397426670417,1.51681909468025,"8"
1.82404351863078,1.82333824704401,"9"
1.86172867403365,1.50310445521027,"8"
1.66974942060188,1.57291546617635,"9"
1.89365603891201,1.846517756721,"8"
2.0257714651525,1.61431335532106,"9"
1.98394399695098,1.62234356943518,"8"
1.85901015833951,1.77539341864176,"9"
2.01086250762455,1.74146459056064,"8"
2.23556552059017,1.54330979837105,"9"
1.70405902690254,1.47523024366237,"8"
1.76849063998088,1.66302321446128,"9"
1.87412898358888,1.72381658190861,"8"
2.0269785861019,1.75203517558984,"9"
2.0816000259947,1.49744077320211,"8"
1.77168326661922,1.76424366715364,"9"
1.95959958457387,1.67045578723773,"8"
2.04460816062055,1.66798331113532,"9"
2.03625277196988,1.59719327082857,"8"
2.02168467873708,1.49264204958454,"9"
2.11822258285246,1.48382092118263,"8"
1.79418555344455,1.48089531380683,"9"
1.64310311176814,1.49704761444591,"8"
2.0187249907758,1.57271145344712,"9"
1.76955960458145,1.46026727524586,"8"
1.93839183379896,1.77944928095676,"9"
2.1024169526063,1.44457349521108,"8"
1.73019733582623,1.52289637378417,"9"
1.87277546711266,1.87111696265638,"8"
