"","X.2","X.1","X","year_of_birth","height","weight","scars","colour","year_of_discovery","number_of_lost_teeth","life_length","Life"
"1",1,1,1,"1291 BC",54.32,15.32,7,"red",1700,25,1368,"P.N.E."
"2",2,2,2,"1589",42.26,11.81,5,"red",1700,28,1377,"N.E."
"3",3,3,3,"1528",44.96,13.34,6,"red",1700,38,1604,"N.E."
"4",4,4,4,"1645",44.16,13.27,5,"green",1700,33,1434,"N.E."
"5",5,5,5,"8 BC",45.72,13.09,1,"red",1700,18,985,"P.N.E."
"6",6,6,6,"915",41.52,11.49,2,"red",1700,20,970,"N.E."
"7",7,7,7,"1557 BC",46.39,14.52,3,"black",1700,28,1255,"P.N.E."
"8",8,8,8,"1144 BC",41.56,11.94,7,"blue",1700,29,1499,"P.N.E."
"9",9,9,9,"66 BC",60.1,17.76,6,"red",1700,2,887,"P.N.E."
"10",10,10,10,"165 BC",49.57,14.3,32,"red",1700,22,2299,"P.N.E."
"11",11,11,11,"1796",51.62,14.25,29,"red",1700,25,2261,"N.E."
"12",12,12,12,"1807 BC",42.57,12.12,3,"blue",1701,0,710,"P.N.E."
"13",13,13,13,"1746 BC",42.2,14.42,8,"blue",1701,4,1016,"P.N.E."
"14",14,14,14,"1552 BC",43.52,12.4,3,"red",1701,20,1104,"P.N.E."
"15",15,15,15,"605",40.29,11.39,18,"green",1701,7,1364,"N.E."
"16",16,16,16,"731",49.29,14.6,3,"red",1701,27,1170,"N.E."
"17",17,17,17,"1767 BC",40.36,12.1,16,"green",1701,21,1618,"P.N.E."
"18",18,18,18,"367",51.44,15.93,6,"red",1701,4,941,"N.E."
"19",19,19,19,"120",43.45,14.9,0,"red",1701,20,994,"N.E."
"20",20,20,20,"1439",47.53,13.31,9,"red",1701,20,1254,"N.E."
"21",21,21,21,"1517",37.07,15.66,4,"red",1701,15,1029,"N.E."
"22",22,22,22,"1665 BC",43.59,11.95,6,"red",1701,8,961,"P.N.E."
"23",23,23,23,"814 BC",43.35,13.85,11,"green",1701,32,1683,"P.N.E."
"24",24,24,24,"1229 BC",46.43,13.16,5,"blue",1701,3,886,"P.N.E."
"25",25,25,25,"721",60.05,17.65,2,"red",1701,35,1276,"N.E."
"26",26,26,26,"1437",40.29,11.69,45,"blue",1701,14,2597,"N.E."
"27",27,27,27,"223 BC",46.29,13.56,17,"red",1701,18,1650,"P.N.E."
"28",28,28,28,"433",53.8,16.21,0,"green",1701,22,1061,"N.E."
"29",29,29,29,"1652",42.87,13.46,12,"black",1701,6,1205,"N.E."
"30",30,30,30,"1755 BC",47.32,17.37,1,"red",1701,39,1415,"P.N.E."
"31",31,31,31,"1056 BC",60.18,17.63,7,"red",1701,14,1185,"P.N.E."
"32",32,32,32,"369",39.78,11.79,13,"green",1701,5,1230,"N.E."
"33",33,33,33,"379",44.37,12.28,8,"red",1701,37,1654,"N.E."
"34",34,34,34,"676",46.58,14.77,10,"green",1701,23,1361,"N.E."
"35",35,35,35,"25",42.8,12.33,11,"green",1701,19,1369,"N.E."
"36",36,36,36,"1389 BC",35.62,11.54,8,"red",1702,39,1680,"P.N.E."
"37",37,37,37,"575 BC",54.63,15.91,1,"red",1702,17,978,"P.N.E."
"38",38,38,38,"1897 BC",41.48,12.37,12,"blue",1702,14,1353,"P.N.E."
"39",39,39,39,"1460 BC",40.27,11.86,13,"blue",1702,12,1354,"P.N.E."
"40",40,40,40,"880 BC",42.15,11.64,14,"red",1702,7,1291,"P.N.E."
"41",41,41,41,"1492 BC",59.09,19.1,4,"blue",1702,21,1174,"P.N.E."
"42",42,42,42,"1552",39.52,13.51,25,"blue",1702,30,2210,"N.E."
"43",43,43,43,"615 BC",55.3,15.87,24,"red",1702,9,1742,"P.N.E."
"44",44,44,44,"1138 BC",41.44,12.41,4,"blue",1702,39,1545,"P.N.E."
"45",45,45,45,"500",44.72,12.4,2,"red",1702,15,865,"N.E."
"46",46,46,46,"1599 BC",40.09,12.22,17,"green",1702,23,1777,"P.N.E."
"47",47,47,47,"86 BC",48.34,17.93,14,"blue",1702,18,1523,"P.N.E."
"48",48,48,48,"584",48.56,13.3,11,"red",1702,24,1391,"N.E."
"49",49,49,49,"1803 BC",53,16.84,1,"green",1702,39,1412,"P.N.E."
"50",50,50,50,"633 BC",39.72,12.38,1,"green",1702,20,1054,"P.N.E."
"51",51,51,51,"347",35.21,11.75,4,"green",1702,1,787,"N.E."
"52",52,52,52,"138 BC",46.04,13.79,10,"blue",1702,5,1100,"P.N.E."
"53",53,53,53,"1337 BC",39.34,11.52,1,"green",1702,7,763,"P.N.E."
"54",54,54,54,"1489",46.65,13.31,9,"green",1702,39,1653,"N.E."
"55",55,55,55,"1305",49.06,13.54,44,"blue",1703,32,2898,"N.E."
"56",56,56,56,"1179 BC",52.64,15.02,4,"green",1703,8,930,"P.N.E."
"57",57,57,57,"1640",38.95,10.89,14,"red",1703,38,1884,"N.E."
"58",58,58,58,"24 BC",40.97,11.78,14,"red",1703,1,1176,"P.N.E."
"59",59,59,59,"249 BC",42.27,13.96,3,"green",1703,40,1517,"P.N.E."
