name,description,styleUrl,longitude,latitude,altitude,LineString/tessellate,LineString/coordinates
St Bart's,"Location where Holmes and Watson first meet.<br><br>A Study in Scarlet, Chapter 1, p28.",#icon-61,-0.100229,51.517443,0,,
Langham Hotel,"1. Captain Morstan stayed here in 1878.<br>2. King of Bohemia staying here as Count von Kramm.<br>3. Lodging place of Philip Green.<br><br>1. The Sign of Four, Chapter 2, page 73.<br>2. The Adventure of a Scandal in Bohemia, page 28.<br>3. The Disappearance of Lady Frances Carfax, p146.",#icon-61,-0.143745,51.517703,0,,
Beckenham Junction,"H&amp;W catch a train here in pursuit of Sophy Kratides.<br><br>The Greek Interpreter, p195.",#icon-61,-0.027552,51.411627,0,,
Beckenham,"Sophy Kratides lives in the Myrtles, about half a mile from the station.<br><br>The Greek Interpreter, p195.",#icon-123,-0.016394,51.399795,0,,
Brixton,"1. J Davenport, who informs Holmes of Sophy Kratides&#39; address, lives in lower Brixton.<br>2. The Commissionaire at the Foreign Office lives at 16 Ivy Lane, Brixton.<br>3. Inspector Stanley Hopkins lives at 46 Lord Street.<br>4. According to the Daily Gazette, a lady fainted on the bus to Brixton.<br>5. 36 Poultney Square. Fictitious address of Ms Fraser and Henry Peters.<br>6. &#39;Killer&#39; Evans was last seen at a nursing home here.<br>7. Mrs Merrilow and her veiled lodger live in South Brixton.<br><br>1. The Greek Interpreter, p195.<br>2. The Naval Treaty, p210.<br>3. The Adventure of Black Peter, p158.<br>4. The Adventure of the Red Circle, p72.<br>5. The Disappearance of Lady Frances Carfax, p149<br>6. The Adventure of the Three Garridebs, p132.<br>7. The Adventure of the Veiled Lodger, p204.",#icon-123,-0.113125,51.459034,0,,
Old Scotland Yard,Frequent mentions throughout the stories.,#icon-61,-0.125656,51.506432,0,,
London Bridge Station,"1. H&amp;W catch a train from here to Beckenham.<br>2. John Hector McFarlane is followed to Baker Street from here.<br>3. This is the station Arthur Cadogan West would have headed for to return to Woolwich, as noted by Mycroft Holmes.<br>4. Watson returns to this station after going out to Blackheath, and sees the mysterious figure once again.<br><br>1. The Greek Interpreter, p197.<br>2. The Adventure of the Norwood Builder, p36.<br>3. The Adventure of Bruce Partington Papers, p96.<br>4. The Adventure of the Retired Colourman, p239.",#icon-61,-0.087097,51.505337,0,,
Charles Street,"Side entrance to the Foreign Office.<br><br>The Naval Treaty, p208.",#icon-123,-0.127394,51.502198,0,,
Foreign Office,"Workplace of Percy Phelps - and where the Naval Treaty is stolen from.<br><br>The Naval Treaty, p208.",#icon-61,-0.127491,51.502759,0,,
Downing Street,"H&amp;W interview Cabinet Minister Lord Holdhurst about the theft of the naval treaty.<br><br>The Naval Treaty, p221.",#icon-123,-0.127094,51.503213,0,,
Corner of Welbeck and Bentinck Streets,"An attempt on Holmes&#39; life, as a two-horse van almost knocks him over before galloping round Marylebone Lane..<br><br>The Final Problem, p244.",#icon-61,-0.14926,51.517209,0,,
Vere Street,"A second attempt on Holmes&#39; life, as a brick tumbles from a nearby roof.<br><br>The Final Problem, p244.",#icon-123,-0.147071,51.514832,0,,
Lyceum Theatre,"Meeting point for driver Williams with Mary Morstan, plus Holmes and Watson.<br><br>The Sign of Four, Chapter 3, page 32.",#icon-61,-0.119691,51.511474,0,,
Mortimer Street,"Possible home of Watson, as Holmes is described as leaving the Doctor&#39;s premises over a back wall leading into Mortimer Street. However, this could be a fictional location in Kensington.<br><br>The Final Problem, p246.",#icon-123,-0.139089,51.51801,0,,
Charing Cross Hospital,"Former site of the hospital on Villiers Street.<br>Workplace of James Mortimer.<br><br>The Hound of the Baskervilles, p16.",#icon-61,-0.124433,51.508162,0,,
Stanfords,"55 Charing Cross, now Whitehall.<br>Holmes orders a map of Dartmoor from here.<br><br>The Hound of the Baskervilles, p43.",#icon-61,-0.126536,51.50547,0,,
Borough,"3 Turpey Street: fictitious address of John Clayton, cab driver.<br><br>The Hound of the Baskervilles, p71.",#icon-123,-0.092268,51.502011,0,,
Museum of the College of Surgeons,"Dr Mortimer passes some time here.<br><br>The Hound of the Baskervilles, p76.",#icon-61,-0.116215,51.515339,0,,
Notting Hill,"1. The convict Selden is described as the Notting Hill murderer.<br>2. Watson compares Gregson&#39;s manhandling as like that of a Notting Hill hooligan.<br><br>1. The Hound of the Baskervilles, p80.<br>2. The Adventure of the Red Circle, p82.",#icon-123,-0.197582,51.510826,0,,
Fulham Road,"Dog dealers Ross and Mangles are based here - sellers of the titular hound.<br><br>The Hound of the Baskervilles, p213.",#icon-123,-0.178056,51.487743,0,,
Craven Street,"Site of the Mexborough Private Hotel where Stapleton and his wife stayed while following Baskerville.<br><br>The Hound of the Baskervilles, p216.",#icon-123,-0.124959,51.507574,0,,
Park Lane,"427 - home of Ronald Adair, murdered here.<br><br>The Adventure of the Empty House, p10.",#icon-123,-0.157242,51.511841,0,,
Church Street,"Former name of Kensington Church Street. Holmes, posing as a book seller, tells Watson he is a neighbour, whose shop is on the corner of Church Street.<br><br>The Adventure of the Empty House, p13.",#icon-123,-0.193334,51.504362,0,,
Route to Coldharbour Lane,"Part conjectural route described by Holmes, starting at the Lyceum Theatre, Strand, but only described from Rochester Row.<br><br>The Sign of Four, Chapter 3, page 34.",#line-0000FF-5000,,,,1,"-0.135355,51.495893,0
          -0.136256,51.494771,0
          -0.133123,51.493649,0
          -0.134969,51.491324,0
          -0.124111,51.486327,0
          -0.126643,51.484055,0
          -0.128403,51.479913,0
          -0.130892,51.47593,0
          -0.131364,51.475476,0
          -0.126472,51.474647,0
          -0.127845,51.473578,0
          -0.124283,51.471814,0
          -0.122952,51.472669,0
          -0.116429,51.465692,0
          -0.114326,51.464622,0
          -0.114799,51.463312,0
          -0.11188,51.462056,0
          -0.108533,51.462844,0
          -0.105529,51.463901,0"
Manchester Street,"Part of the route taken by Holmes and Watson to return to Baker Street.<br><br>The Adventure of the Empty House, p20.",#icon-123,-0.153594,51.51785,0,,
Blandford Street,"Part of the route taken by Holmes and Watson to return to Baker Street.<br><br>The Adventure of the Empty House, p20.",#icon-123,-0.155193,51.518217,0,,
221b Baker Street,"Best guess of the location of 221b, based on descriptions in The Adventure of the Empty House, p20.",#icon-111,-0.15574,51.517997,0,,
Conduit Street,"Address of Colonel Sebastian Moran, the would-be assassin of Holmes.<br><br>The Adventure of the Empty House, p29.",#icon-123,-0.142071,51.511961,0,,
Lower Norwood,"Home of the murdered Jonas Oldacre, who lives at the Sydenham end of the road of that name.<br><br>The Adventure of the Norwood Builder, p35.",#icon-123,-0.053215,51.426293,0,,
Gresham Buildings,"Basinghall Street. Workplace of John Hector McFarlane.<br><br>The Adventure of the Norbury Builder, p37.",#icon-123,-0.090895,51.515927,0,,
Blackheath,"1. Torrington Lodge, Home of John Hector McFarlane.<br>2. One of Godfrey Staunton&#39;s rugby teams.<br>3. Watson played rugby here, according to Robert Ferguson.<br><br>1. The Adventure of the Norwood Builder, p38.<br>2. The Adventure of the Missing Three-Quarter, p254.<br>3. The Adventure of the Sussex Vampire, p101.",#icon-123,0.003433,51.466788,0,,
Anerley Arms,"John Hector McFarlane spends the night here.<br><br>The Adventure of the Norwood Builder, p41.",#icon-61,-0.066218,51.412404,0,,
Russell Square,"Hilton Cubitt first meets Elsie Patrick at a house she is boarding at in Russell Square.<br><br>The Adventure of the Dancing Men, p62.",#icon-123,-0.12748,51.522256,0,,
Liverpool Street Station,"1. Hilton Cubitt catches a train to here from North Walsham, Norfolk when consulting Holmes.<br>2. Watson is sent on a wild goose chase from here.<br><br>1. The Adventure of the Dancing Men, p65.<br>2. The Adventure of the Retired Colourman, p241.",#icon-61,-0.083106,51.517409,0,,
Home of Thaddeus Sholto,"Unknown location on Coldharbour Lane.<br><br>The Sign of Four, Chapter 4, page 36.",#icon-123,-0.105143,51.46374,0,,
Imperial Theatre,"Violet Smith&#39;s (the solitary cyclist) father conducted the orchestra at this now demolished theatre.<br><br>The Adventure of the Solitary Cyclist, p89.",#icon-61,-0.130248,51.49974,0,,
Carlton House Terrace,"1. Town address of Sixth Duke Holdernesse.<br>2. As Carlton House, mentioned by Baron von Herling as the location of the Germany Embassy, where &#39;things are moving&#39;.<br><br>1. The Adventure of the Priory School, p110.<br>2. His Last Bow, p191.",#icon-123,-0.131192,51.506472,0,,
Ratcliffe Highway,"Sumner&#39;s Shipping Agents located here. They send three men, including harpoonist Patrick Cairns, on to Holmes.<br><br>The Adventure of Black Peter, p158.",#icon-123,-0.04343,51.510398,0,,
Hampstead Heath,"1. Holmes and Watson skirt the edge of the Heath on their way to burgle Milverton, and later make their escape across it.<br>2. Mr Warren wakes up on Hampstead Heath after his abduction from Tottenham Court Road.<br><br>1. The Adventure of Charles Augustus Milverton, p175.<br>2. The Adventure of the Red Circle, p73.",#icon-123,-0.17355,51.565547,0,,
Church Row,"H&amp;W take a cab to this street on their way to burgle Milverton.<br><br>The Adventure of Charles Augustus Milverton, p174.",#icon-123,-0.178914,51.555608,0,,
Kennington Road,"1. Morse Hudson keeps a picture and statue shop here, where the first case of Napoleon smashing occurred. Also the home of Dr Barnicot is on this road.<br>2. Ms Fraser is tracked along Kennington Road. Stimson and Co. undertakers are also located here.<br><br>1. The Adventure of the Six Napoleons, p186.<br>2. The Disappearance of Lady Frances Carfax, p149.<br>3. The Disappearance of Lady Frances Carfax, p149,154.",#icon-123,-0.110722,51.492393,0,,
Pitt Street,"131: Scene of a murder connected with the Napoleonic busts.<br><br>The Adventure of the Six Napoleons, p189.",#icon-123,-0.194321,51.503507,0,,
Kensington High Street,"Location of Harding Brothers (two doors from the station), who sell several of the Napoleonic busts.<br><br>The Adventure of the Six Napoleons, p190.",#icon-123,-0.192347,51.501076,0,,
Stepney,"Church Street - Location of Gelder &amp; Co. manufacturers of the Napoleonic busts.<br><br>The Adventure of the Six Napoleons, p194.",#icon-123,-0.04225,51.516221,0,,
Chiswick,"Laburnum Lodge, Laburnum Vale - Home of Mr Josiah Brown, owner of one of the six Napoleons.<br><br>The Adventure of the Six Napoleons, p197.",#icon-123,-0.250626,51.488892,0,,
Upper Norwood,"Pondicherry Lodge, Home of Bartholomew Sholto, specific location not given.<br><br>The Sign of Four, Chapter 5, page 59.",#icon-123,-0.105314,51.4188,0,,
Hammersmith Bridge,"H&amp;W take a four-wheeler to &#39;the other side of Hammersmith Bridge&#39;.<br><br>The Adventure of the Six Napoleons, p200.",#icon-61,-0.230155,51.488331,0,,
